model,run,seed,clustering,transitivity,triangles,edges,max_degree,components,edges_lost,hub_degree
random,103,1587588508,0.036322489242429784,0.036327151951287016,175,1421,21,1,0,8
random,104,995663279,0.03754950185804876,0.03758937691521961,184,1421,20,1,0,10
random,105,933870688,0.040480461333586924,0.03954178455593127,191,1421,19,1,0,9
random,106,878269814,0.03718761616879443,0.03918333677046814,190,1421,19,1,0,13
random,107,826159596,0.040155267054765215,0.04030750051942655,194,1421,20,1,0,9
random,108,844649607,0.03925788032956836,0.03869753172500349,185,1421,19,1,0,11
random,109,2742901735,0.04339015848359658,0.042032967032967036,204,1421,18,1,0,11
random,110,3824543256,0.03978467852432601,0.039038016078484804,191,1421,18,1,0,8
random,111,4197887583,0.034368942682809746,0.035463458730269105,170,1421,19,1,0,15
random,112,2610243712,0.0321058976329958,0.03307151715584952,160,1421,19,1,0,7
random,113,648783830,0.0359031009090805,0.035062240663900415,169,1421,20,1,0,13
random,114,2431551245,0.034538462100465434,0.0338275214032157,162,1421,20,1,0,10
random,115,902428846,0.039985986891967605,0.04141767978569957,201,1421,21,1,0,4
random,116,615418723,0.03507444592628618,0.0356894392653402,171,1421,19,1,0,9
random,117,3842703937,0.03653877901483271,0.03866832092638544,187,1421,20,1,0,13
random,118,252675654,0.038676254312885176,0.03889118742242449,188,1421,20,1,0,16
random,119,4165484533,0.033285724563065826,0.033321763276640055,160,1421,18,1,0,8
random,120,2356030109,0.040334242342993785,0.03912319644839068,188,1421,20,1,0,7
random,121,4060036966,0.03754750584477535,0.03574644960166263,172,1421,20,1,0,11
random,122,1232953998,0.035867021592843364,0.03491289198606272,167,1421,20,1,0,7
random,123,3997668464,0.03360466642451866,0.03422999792545467,165,1421,22,1,0,17
random,124,2562414460,0.03755482827165271,0.03796429304329982,185,1421,21,1,0,9
random,125,2655983834,0.039475046294574406,0.03843461215345841,183,1421,19,1,0,9
random,126,3527006665,0.0345829725606413,0.03264861923547817,160,1421,22,1,0,6
random,127,738611892,0.039939012578191754,0.03565505804311774,172,1421,21,1,0,10
random,128,3339923724,0.03785487334151147,0.03813646670789528,185,1421,19,1,0,12
random,129,2571110847,0.03520306715448158,0.03550537341858251,174,1421,21,1,0,14
random,130,1954227839,0.039812173970084255,0.04030591153369161,195,1421,23,1,0,9
random,131,699173794,0.03749005629950294,0.037706043956043954,183,1421,19,1,0,16
random,132,3759137396,0.03605670367554106,0.03563194298889122,170,1421,19,1,0,11
random,133,2312706552,0.03220382150761827,0.034053610503282275,166,1421,19,1,0,6
random,134,3136556829,0.035538631986922496,0.03530877873165328,170,1421,18,2,0,10
random,135,2802930357,0.03250687162345688,0.03161836083760921,152,1421,21,1,0,11
random,136,3289902884,0.038239587709527685,0.03849072221839001,186,1421,19,1,0,13
random,137,1974893828,0.039946978083916306,0.03913583655438984,189,1421,20,1,0,9
random,138,3741236007,0.03178506009395348,0.03409560545529687,165,1421,21,1,0,6
random,139,4246523447,0.034748380505021104,0.037159372419488024,180,1421,23,1,0,17
random,140,4204199736,0.03291071809893551,0.033877038895859475,162,1421,19,1,0,12
random,141,3756852980,0.03923846349827952,0.04125615763546798,201,1421,21,1,0,10
random,142,2360425523,0.038949957249182696,0.038693743139407245,188,1421,19,1,0,10
random,143,2925016397,0.033869535199295676,0.03376605441237398,163,1421,20,1,0,11
random,144,348245233,0.03590863289452777,0.036743072186110164,179,1421,22,1,0,13
random,145,3506533060,0.038237814729918315,0.04018040180401804,196,1421,20,1,0,8
random,146,2854756745,0.0335977500237428,0.03465209572554987,167,1421,18,1,0,11
random,147,470590852,0.03990888985188814,0.040205541281855425,193,1421,22,1,0,7
random,148,2127968383,0.03682426743949472,0.03617677286742035,176,1421,19,1,0,7
random,149,1007749616,0.04081238204222187,0.03998889197445154,192,1421,22,1,0,13
random,150,3179560088,0.03890781722341669,0.038021766083482574,184,1421,20,1,0,11
random,151,3888617264,0.041458854623734866,0.03964211975223675,192,1421,20,1,0,11
random,152,144964305,0.03638626306837236,0.03710065269666781,180,1421,20,1,0,8
random,153,2113762259,0.037156571625840996,0.038127775879740346,186,1421,22,1,0,13
random,154,1539160983,0.03879461906308594,0.04020237932449063,196,1421,20,1,0,7
random,155,3567598435,0.041369177163736295,0.04158620689655172,201,1421,21,1,0,11
random,156,4129940987,0.03310998904738775,0.03365450791465933,163,1421,21,1,0,5
random,157,1032440040,0.04357147194994095,0.04395529507973286,215,1421,20,1,0,8
random,158,2741725080,0.04529401394307341,0.0413510747185261,202,1421,22,1,0,8
random,159,1456880204,0.04199862223691173,0.0396066836278622,192,1421,19,1,0,10
random,160,4286775135,0.039582861592786595,0.038349917081260364,185,1421,20,1,0,14
random,161,350863671,0.03189640661894241,0.0325192096597146,158,1421,19,1,0,7
random,162,858033892,0.030494367971036385,0.030919220055710305,148,1421,20,1,0,12
random,163,3068183515,0.038065713996936305,0.03710575139146568,180,1421,23,1,0,8
random,164,721021520,0.03824193705328375,0.037580455394837016,181,1421,20,1,0,8
random,165,3669189294,0.03588261450250251,0.03681238234678937,176,1421,19,1,0,12
random,166,3508351009,0.03999470545809583,0.03881010031131096,187,1421,22,1,0,15
random,167,1980460761,0.03294684952149382,0.031972318339100345,154,1421,18,1,0,7
random,168,376598042,0.03747295618348809,0.038547486033519554,184,1421,19,1,0,11
random,169,1604790479,0.03291256548513089,0.03400556328233658,163,1421,21,1,0,12
random,170,2481996061,0.03833064021812332,0.03802700468448608,184,1421,21,1,0,10
random,171,2495790717,0.03469859760389653,0.034332988624612204,166,1421,20,1,0,7
random,172,1412675476,0.037187674695358754,0.03799570904560869,183,1421,21,1,0,16
random,173,87769605,0.034914806363376294,0.03633999452504791,177,1421,20,1,0,12
random,174,1294983114,0.037564975543482544,0.036620294599018006,179,1421,22,1,0,5
random,175,1747869732,0.03441157976566098,0.0352477710968277,170,1421,20,1,0,10
random,176,3672515496,0.04257779866720194,0.043923865300146414,210,1421,18,1,0,12
random,177,3026945523,0.0417146469425979,0.03810504634397528,185,1421,20,1,0,9
random,178,3531186743,0.03272516721547814,0.03237780985770262,157,1421,23,1,0,7
random,179,1905974516,0.04215663335322219,0.042596764284251486,208,1421,19,1,0,4
random,180,2744241891,0.03648160420634183,0.036159430215039035,176,1421,22,1,0,10
random,181,1143991904,0.03904252369453384,0.04058835773260251,195,1421,21,1,0,7
random,182,1114349326,0.03852574873995222,0.037878268029918345,184,1421,20,1,0,7
random,183,1091824953,0.04523959006919966,0.04396284829721362,213,1421,22,1,0,10
random,184,2754250586,0.03783120500660262,0.03649433231960188,176,1421,20,1,0,8
random,185,1550629657,0.039337586500633744,0.0394655704008222,192,1421,22,1,0,14
random,186,2942501300,0.033552575425081596,0.03529411764705882,173,1421,22,1,0,8
random,187,3280892991,0.031517507998714195,0.031241491968418186,153,1421,22,1,0,8
random,188,3699372640,0.037110065555595394,0.037995824634655534,182,1421,22,1,0,14
random,189,1222449900,0.032581008807383835,0.035515176543464796,172,1421,18,1,0,5
random,190,1593180316,0.0417487678055348,0.040615384615384616,198,1421,19,1,0,6
random,191,1693282860,0.04493774571844561,0.04138641043239533,201,1421,20,1,0,15
random,192,1651027913,0.03951757283758714,0.0403477788343975,198,1421,21,1,0,12
random,193,1288602284,0.034304432855080544,0.033920372781470566,165,1421,18,1,0,10
random,194,4122913646,0.03847288538836638,0.039407839866555466,189,1421,18,1,0,9
random,195,3428681372,0.03269212721213928,0.03271060490311827,157,1421,20,1,0,5
random,196,415834003,0.03302704232838019,0.033628563520619985,162,1421,17,1,0,13
random,197,980043413,0.0350228319788289,0.03433922996878252,165,1421,20,1,0,12
random,198,2574008290,0.036426951529889916,0.037523067459503796,183,1421,22,1,0,9
random,199,2746925729,0.04020542264554291,0.03735810113519092,181,1421,20,1,0,8
random,200,2628031555,0.0374619280977207,0.036858089453340695,178,1421,22,1,0,16
swapped,1,2889791187,0.14325243877225513,0.12049668874172186,1213,1421,106,1,0,106
swapped,2,4020043912,0.15081591356574553,0.11413907284768211,1149,1421,106,1,0,106
swapped,3,3150716385,0.15855706271436304,0.11443708609271523,1152,1421,106,1,0,106
swapped,4,215415696,0.1482823112993822,0.11413907284768211,1149,1421,106,1,0,106
swapped,5,1492324978,0.1659944183465388,0.11175496688741722,1125,1421,106,1,0,106
swapped,6,1742941160,0.1536401085128983,0.12039735099337748,1212,1421,106,1,0,106
swapped,7,3370192872,0.1583251026262565,0.1114569536423841,1122,1421,106,1,0,106
swapped,8,2879235325,0.17871566680811168,0.11006622516556291,1108,1421,106,1,0,106
swapped,9,2389344557,0.157468875672017,0.12119205298013246,1220,1421,106,2,0,106
swapped,10,191427299,0.1516291506306935,0.11701986754966888,1178,1421,106,2,0,106
swapped,11,1803173446,0.1528948199242782,0.11423841059602649,1150,1421,106,1,0,106
swapped,12,564075424,0.1518271283901062,0.12049668874172186,1213,1421,106,1,0,106
swapped,13,995142585,0.14797107528211495,0.1176158940397351,1184,1421,106,1,0,106
swapped,14,1916835516,0.1558437670033499,0.11403973509933775,1148,1421,106,1,0,106
swapped,15,3464640610,0.14228319765445582,0.11880794701986755,1196,1421,106,1,0,106
swapped,16,1686561308,0.1687593243839183,0.11205298013245032,1128,1421,106,1,0,106
swapped,17,706358,0.14211382950534293,0.11552980132450331,1163,1421,106,1,0,106
swapped,18,1414168627,0.1540604732889363,0.1152317880794702,1160,1421,106,1,0,106
swapped,19,4106797593,0.1513044180773903,0.10817880794701987,1089,1421,106,1,0,106
swapped,20,3988339958,0.15154918950789667,0.11453642384105961,1153,1421,106,1,0,106
swapped,21,938648224,0.16287546162544955,0.11950331125827815,1203,1421,106,1,0,106
