node,character,degree,betweenness_real,betweenness_null_mean,betweenness_null_sd,betweenness_z,harmonic_real,harmonic_null_mean,harmonic_null_sd,harmonic_z,betweenness_surprise_rank
196,Rockman_(character),2,0.007246376811594203,0.0002290819050902719,0.0010192943601149852,6.884463586860542,91.3499999999999,95.38129761904747,8.376600507908423,-0.4812569986167532,1
252,Turbo_(comics),5,0.007513454854109664,0.0009435190250740308,0.0014193794044673532,4.628738312221119,96.64999999999982,109.13058333333312,6.222011093508172,-2.005876097899456,2
165,Nightmask,5,0.007656023014765652,0.0009034967120593348,0.0015215128333793773,4.438034405341507,94.51666666666652,109.40674999999978,6.080481789051796,-2.448832814554855,3
105,Hercules_(Marvel_Comics),26,0.03737937581542801,0.017555751693571427,0.004484521234976642,4.420454956761919,140.49999999999991,139.39958333333325,2.158748860552569,0.509747422117916,4
22,Black_Widow_(Natasha_Romanova),25,0.03512029844667589,0.016023087535591025,0.00434670252795649,4.393493869952728,138.58333333333323,138.32258333333326,2.7133049446718536,0.09610051406570086,5
117,Ikaris,5,0.005315441206878625,0.0007717547485571026,0.0011416876751915283,3.979798115591708,103.28333333333306,108.65458333333311,6.3717947323646875,-0.8429728554684119,6
99,Guardsman_(character),8,0.008399531107300958,0.0018661441174716413,0.0017158457781484904,3.8076772825581493,110.41666666666643,117.09616666666645,5.109260625311032,-1.30733201726099,7
255,U.S._Agent,21,0.025459877680132557,0.011759982743231126,0.0040470482754752235,3.3851572811526998,135.41666666666654,134.5172499999999,2.798814944992811,0.3213562469629263,8
90,Genis-Vell,8,0.007777682979737589,0.0019697110461113004,0.0017422826166819852,3.333541802010876,103.53333333333308,116.13616666666645,5.334629006664809,-2.362457317573172,9
54,Deathlok,20,0.021330119722229788,0.010809041629672585,0.0034953483890403144,3.0100227277904845,131.49999999999986,133.58824999999987,3.0349843637060063,-0.6880595580565243,10
